Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Area,Road,Road Width,Road Type,Amenities,Face
"Sukedhara New Home : House For Sale In Sukedhara, Kathmandu","Na, Sukedhara, Kathmandu",Kathmandu,45000000,6,6,3,3,6 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Parking', 'Garage', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water']",East
"8 Anna Modern House For Sale In Basundhara In Sherchan Colony Height : House For Sale In Dhapasi, Kathmandu","Sherchan Colony, Dhapasi, Dhapasi, Kathmandu",Kathmandu,45000000,6,6,3,2,8 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Water Well', 'Water Supply', 'Electricity Backup', 'Internet']",East
"Busundhara 8 Ana Modern Home : House For Sale In Basundhara, Kathmandu","na, Basundhara, Kathmandu",Kathmandu,45000000,6,6,3,2,8 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Garden', 'TV Cable', 'Modular Kitchen', 'Microwave', 'Balcony', 'Backyard', 'Frontyard']",West
"Basundhara Semi Bungalow : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,45000000,6,6,3,4,8 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Garage', 'Parking']",North East
"Golfutar Home : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,45000000,6,6,3,2,6 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Garage', 'Parking', 'Drainage', 'Solar Water', 'Water Tank', 'Water Supply']",North
"Hattigauda 8.5 Ana Bungalow : House For Sale In Hattigauda, Kathmandu","Na, Hattigauda, Kathmandu",Kathmandu,45000000,6,6,3,3,8.5 Aana,13 Feet / Gravelled,13 Feet , Gravelled,"['Garage', 'Balcony', 'Modular Kitchen', 'Solar Water', 'Water Tank', 'Store Room', 'Parking']",East
"Baluwatar Home : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,42500000,6,6,3,0,6 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Garage', 'Parking']",East
"Basundhra Choker 6 Ana Home : House For Sale In Basundhara, Kathmandu","na, Basundhara, Kathmandu",Kathmandu,42500000,6,6,4,2,6 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Modular Kitchen', 'TV Cable', 'Balcony']",East
"Greenland Brand New Bungalow : House For Sale In Grande Villa, Kathmandu","Na, Grande Villa, Kathmandu",Kathmandu,39000000,6,6,3,2,6.5 Aana,15 Feet / Soil Stabilized,15 Feet , Soil Stabilized,"['Balcony', 'Frontyard', 'Modular Kitchen', 'Drainage', 'Solar Water', 'Water Supply', 'Water Tank', 'Store Room', 'Parking']",West
"Samakhusi New Home : House For Sale In Samakhusi, Kathmandu","Na, Samakhusi, Kathmandu",Kathmandu,37500000,6,6,3,1,3.75 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Garage', 'Balcony']",East
"Dhapasi Deurali Janata Najik Ghar : House For Sale In Dhapasi, Kathmandu","Na, Dhapasi, Kathmandu",Kathmandu,37000000,6,6,3,3,6.1 Aana,32 Feet,32 Feet,,"['Parking', 'Garage']",East
"6 Anna New House For Sale At Pasikot, 400 Meters From Main Highway : House For Sale In Budhanilkantha, Kathmandu","Pasikot, 400 Meters From Main Highway, Budhanilkantha, Kathmandu",Kathmandu,37000000,6,6,3,2,6 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Parking', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground']",South
"Budhanilkantha 5.5 Ana Home : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,34000000,6,6,3,2,5.5 Aana,30 Feet / Blacktopped,30 Feet , Blacktopped,"['Garage', 'Parking']",South
"Grandy Tokhama Naya Ghar : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,33500000,6,6,3,1,4 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,"['Balcony', 'Drainage', 'Solar Water', 'Water Tank']",West
"Grandy Home : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,29000000,6,6,3,1,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Water Supply', 'Solar Water', 'Drainage', 'Water Tank', 'Water Well', 'Store Room']",South East
"House For Sale In Pasikot, Kathmandu","pasikot, Pasikot, Kathmandu",Kathmandu,28500000,6,6,2,1,5.2 Aana,20 Feet,20 Feet,,[],West
"BHANGAL HEIGHT NEW HOME : House For Sale In Bhangal, Kathmandu","Bhangal, Bhangal, Kathmandu",Kathmandu,28500000,6,6,3,2,4.5 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Garage', 'Water Tank', 'Solar Water', 'Water Supply', 'Drainage', 'Wifi']",West
"Jyotinagar Home For Sale : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,28000000,6,6,3,1,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,['Parking'],South
"Budhanilkantha Bhangal : House For Sale In Bhangal, Kathmandu","Na, Bhangal, Kathmandu",Kathmandu,27500000,6,6,3,2,4 Aana,14 Feet / Gravelled,14 Feet , Gravelled,['Garage'],South West
"Sundar Basti Brand New Home 2 Homes : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,27000000,6,6,3,2,4.5 Aana,14 Feet / Gravelled,14 Feet , Gravelled,"['Parking', 'Garage']",East
"Tokha Grandy Height Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,26500000,6,6,3,1,4 Aana,13 Feet / Paved,13 Feet , Paved,['Parking'],South
"Hattigaudama 5 Anako Ghar Bikrima : House For Sale In Hattigauda, Kathmandu","NA, Hattigauda, Kathmandu",Kathmandu,26500000,6,6,3,2,5 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,['Parking'],West
"Sitapaila Modern Semi Bungalow : House For Sale In Sitapaila, Kathmandu","NA, Sitapaila, Kathmandu",Kathmandu,25500000,6,6,3,1,4 Aana,13 Feet / Gravelled,13 Feet , Gravelled,['Parking'],East
"Dhaneswor House For Sale : House For Sale In Baniyatar, Kathmandu","Na, Baniyatar, Kathmandu",Kathmandu,24000000,6,6,3,1,3.5 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,['Garage'],East
"Baluwakhani Chok 4 Ana Home : House For Sale In Bhangal, Kathmandu","NA, Bhangal, Kathmandu",Kathmandu,24000000,6,6,3,1,4 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,[],South West
"Baluwakhani Home : House For Sale In Bhangal, Kathmandu","NA, Bhangal, Kathmandu",Kathmandu,24000000,6,6,3,1,4 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,[],North West
"Bhangal Brand New Home : House For Sale In Bhangal, Kathmandu","Na, Bhangal, Kathmandu",Kathmandu,23800000,6,6,3,1,4 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,"['Garage', 'Parking', 'Drainage', 'Water Tank', 'Water Supply']",East
"Grandy Gate Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,22500000,6,6,3,1,3.1 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,['Parking'],South
"Grandy Home : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,21000000,6,6,3,1,3 Aana,13 Feet / Paved,13 Feet , Paved,['Garage'],East
"House For Sale In Basundhara, Kathmandu","Basundhara, Basundhara, Kathmandu",Kathmandu,72500000,7,6,3,0,14 Aana,20 Feet,20 Feet,,"['Balcony', 'Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",North
"Budhanilkantha Chapali Home For Sale : House For Sale In Chapali, Kathmandu","Na, Chapali, Kathmandu",Kathmandu,42000000,7,6,3,3,8.5 Aana,13 Feet / Gravelled,13 Feet , Gravelled,"['Frontyard', 'Garage', 'Solar Water', 'Water Supply', 'Water Well', 'Water Tank', 'Store Room']",East
"Beautiful (150m From Main Ringroad) Stunning, Magnificent Views, Prestigious Location : House For Sale In Basundhara, Kathmandu","Basundhara, Basundhara, Kathmandu",Kathmandu,41000000,7,6,3,3,7 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Backyard', 'Balcony', 'Frontyard', 'Garden', 'Drainage', 'Water Tank', 'Kids Playground', 'Parking', 'Security Staff', 'Store Room']",North
"House For Sale In Banasthali, Kathmandu","Banasthali, Banasthali, Kathmandu",Kathmandu,37000000,7,6,4,1,5 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,"['Washing Machine', 'Solar Water', 'Water Tank', 'Internet', 'Microwave', 'Parking', 'Water Well', 'Water Supply', 'Drainage', 'TV Cable']",South
"House For Sale At Bhangal Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Sundar Basti Bhangal, Budhanilkantha, Kathmandu",Kathmandu,29900000,7,6,3,2,5 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank', 'Store Room']",South
"Budhanilkantha Mandikatar : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,27600000,7,6,3,1,4 Aana,13 Feet / Gravelled,13 Feet , Gravelled,"['Garage', 'Store Room', 'Parking']",South
"Basundhara House For Sale : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,25500000,7,6,4,1,3.75 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,['Garage'],East
"House For Sale In Mulpani, Kathmandu","Mulpani, Mulpani, Kathmandu",Kathmandu,16000000,7,6,5,4,3.1 Aana,14 Feet / Gravelled,14 Feet , Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",East
"House For Sale In Budhanilkantha, Kathmandu","Chapali, Budhanilkantha, Kathmandu",Kathmandu,66000000,8,6,3,0,8.3 Aana,40 Feet / Blacktopped,40 Feet , Blacktopped,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",East
"House For Sale In Panipokhari, Kathmandu","Panipokhari, Panipokhari, Kathmandu",Kathmandu,55000000,8,6,3,2,8 Aana,13 Feet,13 Feet,,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",South
"Commercial House Sale At Satungal Near By APF Hospital ,घर वा जमिनको साथ साटासाट गर्न सकिन्छ : House For Sale In Satungal, Kathmandu","satungal,kathmandu, Satungal, Kathmandu",Kathmandu,42500000,8,6,5,0,5.31 Aana,29 Feet,29 Feet,,"['TV Cable', 'Drainage', 'Balcony', 'Water Supply', 'Electricity Backup']",North East
"Budhanilkantha Mandikatar Height Home : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,32500000,8,6,3,1,4 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Drainage', 'Water Supply', 'Solar Water', 'Store Room']",East
"House For Sale In Dhumbarahi, Kathmandu","Near, Pipalbot, Dhumbarahi, Kathmandu",Kathmandu,32500000,8,6,3,4,4.35 Aana,13 Feet / Gravelled,13 Feet , Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",South
"Thapa Niwas : House For Sale In Goldhunga, Kathmandu","Purano Gujyeswori, Balaju, Goldhunga, Kathmandu",Kathmandu,18000000,8,6,3,0,3 Aana,10 Feet / Paved,10 Feet , Paved,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",East
"Commercial Building : House For Sale In Thulo Bharyang, Kathmandu","Nearby ekdhara chwok, Thulo Bharyang, Kathmandu",Kathmandu,155000000,9,6,5.5,31,14.2 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Balcony', 'Fencing', 'Gym', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'CCTV', 'Electricity Backup', 'Intercom', 'Internet', 'Maintenance', 'Parking', 'Security Staff', 'Store Room']",East
"Grandy House For Sale : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,40000000,9,6,4,3,9 Aana,13 Feet / Paved,13 Feet , Paved,['Parking'],South West
"Sitapaila Housing : Land For Sale In Sitapaila, Kathmandu","Na, Sitapaila, Kathmandu",Kathmandu,68000000,10,6,3,0,8 Aana,30 Feet / Blacktopped,30 Feet , Blacktopped,[],East
"House For Sale In Maharajgunj, Kathmandu","Nearby, Teaching Hospital, Maharajgunj, Kathmandu",Kathmandu,47500000,10,6,3.5,0,6.51 Aana,11 Meter,11 Meter,,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",South
"House For Sale In Gongabu, Kathmandu","Gongabu, Gongabu, Kathmandu",Kathmandu,29000000,10,6,5,4,4.2 Aana,10 Feet,10 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",East
"House For Sale In Pepsicola, Kathmandu","Suncity Planning, Pepsicola, Kathmandu",Kathmandu,24000000,10,6,3,4,3.2 Aana,13 Feet,13 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",East
"House For Sale In Baluwatar, Kathmandu","Baluwatar, Baluwatar, Kathmandu",Kathmandu,35000000,11,6,3.5,2,7 Aana,20 Feet,20 Feet,,[],East
"Bansbari Mainroad : House For Sale In Maharajgunj, Kathmandu","Bansbari mainroad, Maharajgunj, Kathmandu",Kathmandu,80000000,18,6,4,0,8 Aana,9 Meter / Soil Stabilized,9 Meter , Soil Stabilized,['Water Supply'],West
"House For Sale In Sukedhara, Kathmandu","Yatayat Office sukedhara, Sukedhara, Kathmandu",Kathmandu,47000000,18,6,2,6,6 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']",South
"House For Sale In Lazimpat, Kathmandu","Lazimpat, Lazimpat, Kathmandu",Kathmandu,30000000,3,7,3,0,6 Aana,10 Feet,10 Feet,,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",East
"2.5 Storey House On Sale At Pachdhara Gairigau, Swoyambhu : House For Sale In Swayambhu, Kathmandu","gairigaun, Swayambhu, Kathmandu",Kathmandu,27000000,4,7,1.5,0,9 Aana,0 Feet,0 Feet,,[],South East
"6 Ropani Exceptionally Beautiful Bungalow For Sale At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,250000000,5,7,2,20,96 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Microwave', 'Gym', 'Garden', 'Frontyard', 'Fencing', 'Deck', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'CCTV', 'Parking', 'Water Tank', 'Water Well', 'Solar Water', 'Water Supply', 'Cafeteria', 'Electricity Backup', 'Intercom', 'Internet', 'Kids Playground', 'Jacuzzi']",North East
"BUDANILKANTHA VILLA : House For Sale In Budhanilkantha, Kathmandu","Near by Deubaniwas, Budhanilkantha, Kathmandu",Kathmandu,96000000,5,7,3,0,18 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Garden', 'Frontyard', 'Air Condition', 'Garage', 'Backyard', 'Deck', 'Fencing', 'Lawn', 'Balcony', 'Microwave', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Washing Machine', 'Water Well', 'Water Tank']",East
"12 Anna Fully Furnished Bungalow For Sale At Dhumbarahi, Pragati Tole : House For Sale In Dhumbarahi, Kathmandu","Pragati Tole, Dhumbarahi, Kathmandu",Kathmandu,70000000,5,7,2,3,12 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Garden', 'Frontyard', 'Fencing', 'Modular Kitchen', 'Wifi', 'Drainage', 'CCTV', 'Water Well', 'Solar Water', 'Water Supply', 'Electricity Backup', 'Internet']",West
"House Sale at Baluwakhani,Kapan","Baluwakhani,Kapan,Kathmandu",Kathmandu,2.35E+07,5,7,2.5,5,3.2 Aana,15 Feet,15 Feet,Gravelled,"['Balcony', 'Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",West
"Newly Built 🏠 House : House For Sale In Gongabu, Kathmandu","Ganesthan, Gongabu, Kathmandu",Kathmandu,20000000,5,7,2,2,3 Aana,14 Feet / Gravelled,14 Feet , Gravelled,"['Water Supply', 'Parking', 'Balcony']",East
"Magnificent New Bungalow For Sale At Budhanilkantha, Kathmandu : House For Sale In Budhanilkantha, Kathmandu","Park Village, Budhanilkantha, Kathmandu",Kathmandu,130000000,6,7,2,10,15 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Garage', 'Air Condition', 'Backyard', 'Balcony', 'Gym', 'Garden', 'Frontyard', 'Modular Kitchen', 'Swimming Pool', 'Wifi', 'Drainage', 'CCTV', 'Water Tank', 'Electricity Backup', 'Water Supply', 'Internet', 'Kids Playground']",South
"House For Sale In Budhanilkantha, Kathmandu","CG Hills Housing, Hattigauda, Budhanilkantha, Kathmandu",Kathmandu,80000000,6,7,2,4,14.75 Aana,13 Feet,13 Feet,,[],North
"Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,70000000,6,7,3,10,22 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Parking', 'Garage']",East
"Golfutar 6 Ana Exclusive Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,45000000,6,7,3,2,6 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Garage', 'Parking', 'Water Supply', 'Solar Water', 'Drainage', 'Washing Machine', 'Water Tank']",North
3BHK House on Sale Satungal,"satungal,kathmandu, Satungal, Kathmandu",Kathmandu,2.40E+07,6,7,3.5,3,4.0 Aana,10 Feet,10 Feet,Blacktopped,"['Wifi','Drainage','Parking','Balcony','Electricity Backup','Terrace']",East
"Dhapasi Exclusive Bungalow : House For Sale In Dhapasi, Kathmandu","Na, Dhapasi, Kathmandu",Kathmandu,69000000,7,7,3,4,12 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Frontyard', 'Lawn', 'Garage', 'Water Supply', 'Solar Water', 'Drainage', 'Water Tank', 'Parking', 'Store Room']",South
"Dhubarahi 8 Ana Home : House For Sale In Dhumbarahi, Kathmandu","Dhumbarahi, Dhumbarahi, Kathmandu",Kathmandu,62000000,7,7,3,3,8 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Garden', 'Balcony', 'Garage', 'Frontyard', 'Drainage']",East
"Basundhara Home : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,60000000,7,7,3,4,10 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Garage', 'Parking']",North East
"House For Sale In Balkhu, Kathmandu","Kumari Club, Balkhu, Kathmandu",Kathmandu,49500000,7,7,3,0,9 Aana,10 Feet,10 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",East
"Dhumbarahi Home For Sale : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,40000000,7,7,4,2,7 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,['Parking'],North East
"Jyotinagar Family Home : House For Sale In Ekatabasti, Kathmandu","Man, Ekatabasti, Kathmandu",Kathmandu,29900000,7,7,3,1,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Garage', 'Water Well', 'Internet', 'Store Room', 'Water Tank', 'Solar Water', 'Drainage', 'Wifi', 'Water Supply', 'TV Cable']",North East
"VIP Semi-Bungalow On Sale In Akashedhara Height , 1 Km From Ringroad Sukhedhara : House For Sale In Sukedhara, Kathmandu","Akashedhara Height, Sukedhara, Kathmandu",Kathmandu,42000000,8,7,4,4,6 Aana,20 Feet / Paved,20 Feet , Paved,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Solar Water', 'Water Supply', 'Drainage']",East
"House For Sale In Kalanki, Kathmandu","Durga Nagar Colony, Kalanki, Kathmandu",Kathmandu,41500000,8,7,3,0,7.5 Aana,14 Feet,14 Feet,,[],North
"Mandikatar Height New Home : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,32500000,8,7,4,1,4 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Water Supply', 'Drainage', 'Solar Water']",North
"House For Sale In Sukedhara, Kathmandu","Sukedhara, Sukedhara, Kathmandu",Kathmandu,88000000,9,7,3,0,16.7 Aana,20 Feet,20 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",South West
"House For Sale In Naxal, Kathmandu","Gahana, Pokhari, Naxal, Kathmandu",Kathmandu,55000000,9,7,4,0,7 Aana,20 Feet,20 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",East
"House For Sale In Lazimpat, Kathmandu","Lazimpat, Lazimpat, Kathmandu",Kathmandu,27500000,9,7,4,0,5 Aana,13 Feet,13 Feet,,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",West
"Under Construction Bungalow : House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Muhanpokhari, Budhanilkantha, Kathmandu",Kathmandu,29000000,3,8,3,0,5.63 Aana,20 Feet / Gravelled,20 Feet , Gravelled,"['Modular Kitchen', 'Solar Water', 'TV Cable', 'Water Tank', 'Frontyard', 'Fencing', 'Water Supply', 'Balcony']",South East
"House For Sale In Sukedhara, Kathmandu","Sukedhara, Sukedhara, Kathmandu",Kathmandu,27500000,4,8,3,0,4 Aana,13 Feet / Gravelled,13 Feet , Gravelled,[],North West
"House For Sale In Baneshwor, Kathmandu","New Baneshwor, Baneshwor, Kathmandu",Kathmandu,55000000,5,8,2,0,8.2 Aana,24 Feet / Gravelled,24 Feet , Gravelled,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",East
"2 Commerical House Sale In Naxal : House For Sale In Naxal, Kathmandu","naxal main road , next to NMB Bank, Naxal, Kathmandu",Kathmandu,150000000,6,8,3.5,0,6.2 Aana,20 Feet,20 Feet,,"['Garage', 'Garden', 'Water Supply', 'TV Cable', 'Water Well', 'Drainage', 'Water Tank']",East
"Land With A House In Paknajol On Sale : House For Sale In Paknajol, Kathmandu","Fireflies Hostel, Paknajol, Kathmandu",Kathmandu,55000000,6,8,2,0,6.2 Aana,10 Meter / Gravelled,10 Meter , Gravelled,[],East
"Basundhara Bungalow For Sale : House For Sale In Basundhara, Kathmandu","Na, Basundhara, Kathmandu",Kathmandu,85000000,7,8,3,4,14 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,"['Garage', 'Air Condition', 'Balcony', 'Frontyard', 'Garden', 'Modular Kitchen', 'Washing Machine', 'Drainage', 'Wifi', 'Solar Water', 'Water Supply', 'Water Tank', 'Water Well', 'Parking', 'Store Room']",East
"Samakhusi Flat Home : House For Sale In Samakhusi, Kathmandu","Samakhusi, Samakhusi, Kathmandu",Kathmandu,40000000,7,8,4,2,4 Aana,14 Feet / Paved,14 Feet , Paved,['Garage'],East
"Chapali Cheap Home : House For Sale In Chapali, Kathmandu","Na, Chapali, Kathmandu",Kathmandu,24000000,7,8,4,1,5 Aana,13 Feet / Gravelled,13 Feet , Gravelled,['Parking'],South
"Budhanilkantha Underconstruction : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,105000000,8,8,4,4,21 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,"['Parking', 'Garage']",East
"House For Sale In Teku, Kathmandu","Pachali, Bhairav, Teku, Kathmandu",Kathmandu,70000000,8,8,3,5,16 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",North
"House For Sale In Samakhusi, Kathmandu","Samakhusi, Samakhusi, Kathmandu",Kathmandu,55000000,8,8,3,0,8 Aana,13 Feet,13 Feet,,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",West
"Durbarmarg Next To Annapurna Cake Shop : House For Sale In Durbar Marg, Kathmandu","durbarmarg, Durbar Marg, Kathmandu",Kathmandu,250000000,10,8,3,0,4 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,[],North
"House For Sale In Maharajgunj, Kathmandu","Near Chappal Factory, Maharajgunj, Kathmandu",Kathmandu,180000000,10,8,3,0,56 Aana,13 Feet,13 Feet,,"['Garage', 'Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",North West
"Flat System House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,100000000,10,8,3.5,5,13.2 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,"['Lawn', 'Garage', 'Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking']",East
"House For Sale In Hattigauda, Kathmandu","Hattigauda, Hattigauda, Kathmandu",Kathmandu,61500000,10,8,3.5,0,18 Aana,15 Feet,15 Feet,,"['Balcony', 'Garden', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank']",West
"Budanilkantha Golfutar Home : House For Sale In Budhanilkantha, Kathmandu","Golfutar, Budhanilkantha, Kathmandu",Kathmandu,30000000,10,8,4,2,4 Aana,30 Feet / Blacktopped,30 Feet , Blacktopped,"['TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water']",North East
"Samakhusi 11 Ana Flat Home : House For Sale In Samakhusi, Kathmandu","Na, Samakhusi, Kathmandu",Kathmandu,61000000,12,8,4,4,11 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,"['Parking', 'Drainage', 'Solar Water', 'Water Tank']",South East
"Flat System House For Sale At Ghattekulo Kathmandu. : House For Sale In Ghattekulo, Kathmandu","Ghattekulo, Ghattekulo, Kathmandu",Kathmandu,100000000,8,9,4,4,13.6 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,[],North East
"House For Sale In Gongabu, Kathmandu","Mitranagar, Gongabu, Kathmandu",Kathmandu,31000000,9,9,4,3,2.2 Aana,9 Feet,9 Feet,,"['Balcony', 'TV Cable', 'Wifi', 'Water Supply', 'Water Tank']",West
